time_s,rppg,ppg
1762522896.788909,-1.110071,-0.570463
1762522896.822243,-0.113843,-0.366427
1762522896.855577,0.705011,-0.087063
1762522896.888911,1.195202,0.207213
1762522896.922244,1.268160,0.455509
1762522896.955578,1.098683,0.615172
1762522896.988911,0.794563,0.673188
1762522897.022245,0.507404,0.646108
1762522897.055578,0.273333,0.569535
1762522897.088912,0.219525,0.482526
1762522897.122246,0.261670,0.413617
1762522897.155580,0.402278,0.373407
1762522897.188913,0.487229,0.355064
1762522897.222247,0.563520,0.340767
1762522897.255580,0.538468,0.310458
1762522897.288914,0.451382,0.249474
1762522897.322248,0.241363,0.152928
1762522897.355581,0.037944,0.026275
1762522897.388915,-0.198928,-0.117369
1762522897.422249,-0.372553,-0.261853
1762522897.455582,-0.537668,-0.393028
1762522897.488916,-0.644647,-0.502506
1762522897.522249,-0.743407,-0.588745
1762522897.555583,-0.784800,-0.654924
1762522897.588917,-0.783058,-0.704491
1762522897.622250,-0.760864,-0.736449
1762522897.655584,-0.736615,-0.742776
1762522897.688918,-0.765721,-0.709411
1762522897.722251,-0.813595,-0.620540
1762522897.755585,-0.839253,-0.464475
1762522897.788918,-0.765120,-0.238928
1762522897.822252,-0.505114,0.045779
1762522897.855586,-0.047144,0.365884
1762522897.888919,0.592385,0.685367
1762522897.922253,1.212364,0.959008
1762522897.955587,1.728452,1.137947
1762522897.988920,1.938467,1.178523
1762522898.022254,1.841384,1.054024
1762522898.055588,1.416702,0.766550
1762522898.088921,0.778815,0.354114
1762522898.122255,-0.022150,-0.111881
1762522898.155588,-0.856462,-0.540652
1762522898.188922,-1.599183,-0.844428
1762522898.222256,-2.088887,-0.961764
1762522898.255589,-2.160497,-0.873285
1762522898.288923,-1.679848,-0.604451
1762522898.322257,-0.720466,-0.215658
1762522898.355590,0.540118,0.214967
1762522898.388924,1.659375,0.608902
1762522898.422257,2.372206,0.899628
1762522898.455591,2.422777,1.039264
1762522898.488925,1.897472,1.001966
1762522898.522258,0.977651,0.786971
1762522898.555592,0.073820,0.421605
1762522898.588926,-0.598830,-0.038536
1762522898.622259,-0.963725,-0.516034
1762522898.655593,-1.140729,-0.926215
1762522898.688926,-1.293764,-1.196839
1762522898.722260,-1.483517,-1.286059
1762522898.755594,-1.699403,-1.191291
1762522898.788927,-1.734332,-0.945359
1762522898.822261,-1.404509,-0.602246
1762522898.855595,-0.687264,-0.219585
1762522898.888928,0.298428,0.154245
1762522898.922262,1.193564,0.484169
1762522898.955595,1.739811,0.745058
1762522898.988929,1.765273,0.916609
1762522899.022263,1.423767,0.982216
1762522899.055597,0.844029,0.933827
1762522899.088930,0.367021,0.779650
1762522899.122264,0.112016,0.548675
1762522899.155597,0.055030,0.287165
